,prices,market_caps,total_volumes,dates
1592,0.3877209670878742,18743633948.127808,5171860945.698974,2022-05-13 00:00:00.000
1593,0.4221611103052877,20468064488.24979,20446959910.483803,2022-05-14 00:00:00.000
1594,0.4300177313049834,20788390700.981167,3004143500.290736,2022-05-15 00:00:00.000
1595,0.4481544456391356,21676314969.990356,2107871027.0035691,2022-05-16 00:00:00.000
1596,0.4235522358019889,20475828597.591156,2480176431.6243024,2022-05-17 00:00:00.000
1597,0.439154212031743,21206918515.01422,2261832657.6180253,2022-05-18 00:00:00.000
1598,0.4064758494281428,19667366546.451973,2023407675.91126,2022-05-19 00:00:00.000
1599,0.42163047872276826,20386508123.763515,2149785235.1761374,2022-05-20 00:00:00.000
1600,0.41149336598683217,19911044580.081833,2246730608.8392916,2022-05-21 00:00:00.000
1601,0.41527535302800195,20075698416.052597,1374886935.528266,2022-05-22 00:00:00.000
1602,0.4228608764476286,20460151559.50088,1421121318.9561877,2022-05-23 00:00:00.000
1603,0.4055009945873183,19603175616.81888,1813039685.088817,2022-05-24 00:00:00.000
1604,0.40920231512538,19782108930.152927,1706980388.6999452,2022-05-25 00:00:00.000
1605,0.40630298199560927,19651540840.327026,2015843764.2379487,2022-05-26 00:00:00.000
1606,0.39439817694614954,19066430980.02002,2485081450.728108,2022-05-27 00:00:00.000
1607,0.3822834941737768,18480769644.785652,2324419767.860538,2022-05-28 00:00:00.000
1608,0.38701377546048005,18709446111.71902,1163579967.864386,2022-05-29 00:00:00.000
1609,0.3898603598259622,18842893628.887955,947644980.2610089,2022-05-30 00:00:00.000
1610,0.4187053842908315,20236714660.095737,1445550917.8894582,2022-05-31 00:00:00.000
1611,0.42444803071239395,20519703901.01127,1735357529.5898669,2022-06-01 00:00:00.000
1612,0.39934393599772106,19314953814.235928,1522349174.1251605,2022-06-02 00:00:00.000
1613,0.40595433920895124,19625091701.739594,1302678375.7464876,2022-06-03 00:00:00.000
1614,0.3914176021539427,18902929145.44984,1275894944.5520406,2022-06-04 00:00:00.000
1615,0.39322679036246533,18982750748.83201,683447146.5940696,2022-06-05 00:00:00.000
1616,0.3961828350786588,19187176365.392696,705391273.9767989,2022-06-06 00:00:00.000
